sensor_id	date	time	temperature	pressure	humidity	pressure_at_sealevel
25765	2024-03-17	15:18:12	5.5	NA	99.9	NA
31437	2024-03-17	15:17:47	2.95	101565.84	45.46	102605.49
25765	2024-03-17	19:12:21	2	NA	99.9	NA
31437	2024-03-17	19:13:17	-0.6	101654.19	57.74	102708.35
25765	2024-03-19	20:48:20	4.1	NA	99.9	NA
31437	2024-03-19	20:49:09	2.21	100854.69	83.63	101889.85
25765	2024-03-20	12:12:57	6.4	NA	99.9	NA
31437	2024-03-20	12:13:49	5.39	100834.69	100	101857.78
25765	2024-03-20	15:27:10	6.9	NA	99.9	NA
31437	2024-03-20	15:25:40	5.48	100810.84	95.9	101833.35
25765	2024-03-20	16:31:06	6.7	NA	99.9	NA
31437	2024-03-20	16:31:39	5.39	100798.66	96.26	101821.38
25765	2024-03-20	17:27:07	6.3	NA	99.9	NA
31437	2024-03-20	17:27:39	4.85	100819.88	98.37	101844.81
25765	2024-03-20	18:30:39	6.1	NA	99.9	NA
31437	2024-03-20	18:30:53	4.42	100818.06	100	101844.57
25765	2024-03-20	19:24:16	5.9	NA	99.9	NA
31437	2024-03-20	19:24:52	4.28	100811.72	100	101838.68
25765	2024-03-20	20:25:38	5.5	NA	99.9	NA
31437	2024-03-20	20:25:46	3.86	100801.28	100	101829.7
25765	2024-03-20	21:24:00	5.4	NA	99.9	NA
31437	2024-03-20	21:23:56	3.88	100789.38	100	101817.6
25765	2024-03-20	22:27:49	5.1	NA	99.9	NA
31437	2024-03-20	22:27:35	3.57	100775.72	100	101804.96
25765	2024-03-20	23:26:26	5.2	NA	99.9	NA
31437	2024-03-20	23:25:55	3.77	100754.84	100	101783.12
25765	2024-03-21	01:28:27	5.7	NA	99.9	NA
31437	2024-03-21	01:27:58	3.73	100725.63	100	101753.76
25765	2024-03-21	02:30:01	5.6	NA	99.9	NA
31437	2024-03-21	02:31:38	3.99	100680.84	100	101707.55
25765	2024-03-21	03:26:17	5.7	NA	99.9	NA
31437	2024-03-21	03:27:33	4.18	100667.59	100	101693.46
25765	2024-03-21	04:29:49	5.9	NA	99.9	NA
31437	2024-03-21	04:30:56	4.24	100732.78	100	101759.09
25765	2024-03-21	05:26:00	6.1	NA	99.9	NA
31437	2024-03-21	05:26:46	4.4	100734.91	100	101760.64
25765	2024-03-21	06:29:15	6.2	NA	99.9	NA
31437	2024-03-21	06:28:06	4.62	100709.63	100	101734.29
25765	2024-03-21	08:28:44	6.8	NA	99.9	NA
31437	2024-03-21	08:27:35	5.74	100818.16	100	101839.79
25765	2024-03-21	09:24:52	6.9	NA	99.9	NA
31437	2024-03-21	09:23:28	5.74	100846.5	100	101868.42
25765	2024-03-21	10:28:53	6.9	NA	99.9	NA
31437	2024-03-21	10:29:38	6.09	100900.44	99.32	101921.62
